Age_ka,Depth_top_m,Depth_bottom_m,Ca_ppb,Age_b2k,CV_Ca,eta
15.03,1614.66,0.199,192.26,15030.0,0.42603057061513233,1.4742519700457248
15.05,1615.13,0.2,221.39,15050.0,0.40702833960579304,1.4419481773298481
15.07,1615.55,0.202,245.42,15070.0,0.3874118900205106,1.4086002130348678
15.09,1615.98,0.204,173.0,15090.0,0.36839718641853664,1.3762752169115122
15.11,1616.39,0.204,197.67,15110.0,0.3465526325622409,1.3391394753558095
15.13,1616.84,0.205,189.27,15130.0,0.32935218831948554,1.3098987201431254
15.15,1617.32,0.205,236.66,15150.0,0.3057759169118818,1.269819058750199
15.17,1617.73,0.206,224.0,15170.0,0.2805898884469348,1.2270028103597892
15.19,1618.18,0.207,245.49,15190.0,0.25620693735815037,1.1855517935088555
15.21,1618.67,0.208,215.99,15210.0,0.23185781912445233,1.144158292511569
15.23,1619.12,0.209,220.43,15230.0,0.20455095193094197,1.0977366182826014
15.25,1619.63,0.209,263.44,15250.0,0.18082219522248763,1.057397731878229
15.27,1620.11,0.211,181.81,15270.0,0.16997162512785904,1.0389517627173603
15.29,1620.56,0.211,154.93,15290.0,0.16269951648404257,1.0265891780228724
15.31,1621.02,0.213,150.95,15310.0,0.1596353905534758,1.0213801639409088
15.33,1621.45,0.214,178.94,15330.0,0.16141687795949858,1.0244086925311475
15.35,1621.92,0.214,182.94,15350.0,0.16907369950348072,1.0374252891559173
15.37,1622.38,0.215,199.59,15370.0,0.16608479826543746,1.0323441570512437
15.39,1622.83,0.216,206.52,15390.0,0.16155820433319767,1.024648947366436
15.43,1623.77,0.218,181.88,15430.0,0.16285517248070086,1.0268537932171915
15.45,1624.25,0.219,205.26,15450.0,0.1643423340231114,1.0293819678392895
15.47,1624.71,0.219,190.77,15470.0,0.1753966676110965,1.0481743349388641
15.49,1625.17,0.22,154.65,15490.0,0.17681188916231444,1.0505802115759346
15.51,1625.6,0.221,172.21,15510.0,0.17699729982863352,1.050895409708677
15.53,1626.03,0.223,220.03,15530.0,0.1815987180565625,1.0587178206961563
15.55,1626.44,0.224,190.64,15550.0,0.1876091406793698,1.0689355391549287
15.57,1626.87,0.224,175.93,15570.0,0.1901094890541522,1.0731861313920588
15.59,1627.34,0.226,165.73,15590.0,0.19026630627188126,1.0734527206621982
